a,b,c,d,e,f
1.0037,0.928558,0.0100003,0.999991,-0.01,-2.94
1.00296,0.928589,0.00800028,1.00001,-0.008,-2.952
1.00222,0.928558,0.00600021,0.999991,-0.006,-2.964
1.00148,0.928558,0.00400014,0.999991,-0.00400001,-2.976
1.00074,0.928589,0.00200007,1.00001,-0.002,-2.988
1,-0.5,0,0,0,-nan
0.999259,-1.92859,-0.00200007,-1.00001,0.002,-2.988
0.998519,-1.92856,-0.00399982,-0.999991,0.00399999,-2.976
0.997778,-1.92856,-0.00599989,-0.999991,0.006,-2.964
0.997037,-1.92859,-0.00799996,-1.00001,0.008,-2.952
0.996296,-1.92856,-0.01,-0.999991,0.00999999,-2.94
0.995556,-1.92859,-0.0119999,-1.00001,0.012,-2.928
0.994815,-1.92856,-0.0139998,-0.999991,0.014,-2.916
0.994074,-1.92859,-0.0160001,-1.00001,0.016,-2.904
0.993333,-1.92856,-0.018,-0.999991,0.018,-2.892
0.992593,-1.92856,-0.0200001,-0.999991,0.02,-2.88
0.991852,-1.92859,-0.0220001,-1.00001,0.022,-2.868
0.991111,-1.92856,-0.0239999,-0.999991,0.024,-2.856
0.99037,-1.92859,-0.0259999,-1.00001,0.026,-2.844
0.98963,-1.92856,-0.0279998,-0.999991,0.028,-2.832
0.988889,-1.92859,-0.0299999,-1.00001,0.03,-2.82
0.988148,-1.92856,-0.032,-0.999991,0.032,-2.808
0.987407,-1.92856,-0.0340001,-0.999991,0.034,-2.796
0.986667,-1.92859,-0.036,-1.00001,0.036,-2.784
0.985926,-1.92856,-0.038,-0.999991,0.038,-2.772
0.985185,-1.92859,-0.0400001,-1.00001,0.04,-2.76
0.984444,-1.92856,-0.0419999,-0.999991,0.042,-2.748
0.983704,-1.92859,-0.0439999,-1.00001,0.044,-2.736
0.982963,-1.92856,-0.0459998,-0.999991,0.046,-2.724
0.982222,-1.92856,-0.0479999,-0.999991,0.048,-2.712
0.981481,-1.92859,-0.05,-1.00001,0.05,-2.7
0.980741,-1.92856,-0.052,-0.999991,0.052,-2.688
0.98,-1.92859,-0.0539999,-1.00001,0.054,-2.676
0.979259,-1.92856,-0.056,-0.999991,0.056,-2.664
0.978518,-1.92859,-0.0580001,-1.00001,0.058,-2.652
0.977778,-1.92856,-0.0599998,-0.999991,0.06,-2.64
0.977037,-1.92856,-0.0619999,-0.999991,0.062,-2.628
0.976296,-1.92859,-0.064,-1.00001,0.064,-2.616
0.975556,-1.92856,-0.0659999,-0.999991,0.066,-2.604
0.974815,-1.92859,-0.068,-1.00001,0.068,-2.59201
0.974074,-1.92856,-0.0699999,-0.999991,0.07,-2.58
0.973333,-1.92859,-0.0720001,-1.00001,0.072,-2.568
0.972593,-1.92856,-0.074,-0.999991,0.074,-2.556
0.971852,-1.92856,-0.0759998,-0.999991,0.076,-2.544
0.971111,-1.92859,-0.0780001,-1.00001,0.078,-2.53201
0.97037,-1.92856,-0.0799999,-0.999991,0.08,-2.52
0.96963,-1.92859,-0.082,-1.00001,0.082,-2.50801
0.968889,-1.92856,-0.0839999,-0.999991,0.084,-2.496
0.968148,-1.92859,-0.0859999,-1.00001,0.086,-2.48401
0.967407,-1.92856,-0.088,-0.999991,0.088,-2.472
0.966667,-1.92856,-0.0900001,-0.999991,0.09,-2.45999
0.965926,-1.92859,-0.092,-1.00001,0.092,-2.44801
0.965185,-1.92856,-0.0940001,-0.999991,0.094,-2.43599
0.964445,-1.92859,-0.0959998,-1.00001,0.096,-2.42401
0.963704,-1.92856,-0.0979999,-0.999991,0.098,-2.41199
0.962963,-1.92859,-0.0999999,-1.00001,0.1,-2.40001
0.962222,-1.92856,-0.102,-0.999991,0.102,-2.38799
0.961482,-1.92856,-0.104,-0.999991,0.104,-2.37599
0.960741,-1.92859,-0.106,-1.00001,0.106,-2.36401
0.96,-1.92856,-0.108,-0.999991,0.108,-2.35199
0.959259,-1.92859,-0.11,-1.00001,0.11,-2.34001
0.958519,-1.92856,-0.112,-0.999991,0.112,-2.32799
0.957778,-1.92859,-0.114,-1.00001,0.114,-2.31601
0.957037,-1.92856,-0.116,-0.999991,0.116,-2.30399
0.956296,-1.92856,-0.118,-0.999991,0.118,-2.29199
0.955556,-1.92859,-0.12,-1.00001,0.12,-2.28001
0.954815,-1.92856,-0.122,-0.999991,0.122,-2.26799
0.954074,-1.92859,-0.124,-1.00001,0.124,-2.25601
0.953333,-1.92856,-0.126,-0.999991,0.126,-2.24399
0.952593,-1.92859,-0.128,-1.00001,0.128,-2.23201
0.951852,-1.92856,-0.13,-0.999991,0.13,-2.21999
0.951111,-1.92856,-0.132,-0.999991,0.132,-2.20799
0.95037,-1.92859,-0.134,-1.00001,0.134,-2.19601
0.94963,-1.92856,-0.136,-0.999991,0.136,-2.18399
0.948889,-1.92859,-0.138,-1.00001,0.138,-2.17201
0.948148,-1.92856,-0.14,-0.999991,0.14,-2.15999
0.947407,-1.92859,-0.142,-1.00001,0.142,-2.14801
0.946667,-1.92856,-0.144,-0.999991,0.144,-2.13599
0.945926,-1.92856,-0.146,-0.999991,0.146,-2.12399
0.945185,-1.92859,-0.148,-1.00001,0.148,-2.11201
0.944444,-1.92856,-0.15,-0.999991,0.15,-2.09999
0.943704,-1.92859,-0.152,-1.00001,0.152,-2.08801
0.942963,-1.92856,-0.154,-0.999991,0.154,-2.07599
0.942222,-1.92859,-0.156,-1.00001,0.156,-2.06401
0.941482,-1.92856,-0.158,-0.999991,0.158,-2.05199
0.940741,-1.92856,-0.16,-0.999991,0.16,-2.03999
0.94,-1.92859,-0.162,-1.00001,0.162,-2.02801
0.939259,-1.92856,-0.164,-0.999991,0.164,-2.01599
0.938519,-1.92859,-0.166,-1.00001,0.166,-2.00401
0.937778,-1.92856,-0.168,-0.999991,0.168,-1.99199
0.937037,-1.92859,-0.17,-1.00001,0.17,-1.98001
0.936296,-1.92856,-0.172,-0.999991,0.172,-1.96799
0.935556,-1.92856,-0.174,-0.999991,0.174,-1.95599
0.934815,-1.92859,-0.176,-1.00001,0.176,-1.94401
0.934074,-1.92856,-0.178,-0.999991,0.178,-1.93199
0.933333,-1.92859,-0.18,-1.00001,0.18,-1.92001
0.932593,-1.92856,-0.182,-0.999991,0.182,-1.90799
0.931852,-1.92859,-0.184,-1.00001,0.184,-1.89601
0.931111,-1.92856,-0.186,-0.999991,0.186,-1.88399
0.93037,-1.92856,-0.188,-0.999991,0.188,-1.87199
0.92963,-1.92859,-0.19,-1.00001,0.19,-1.86001
0.928889,-1.92856,-0.192,-0.999991,0.192,-1.84799
0.928148,-1.92859,-0.194,-1.00001,0.194,-1.83601
0.927407,-1.92856,-0.196,-0.999991,0.196,-1.82399
0.926667,-1.92859,-0.198,-1.00001,0.198,-1.81201
0.925926,-1.92856,-0.2,-0.999991,0.2,-1.79999
0.925185,-1.92856,-0.202,-0.999991,0.202,-1.78799
0.924444,-1.92859,-0.204,-1.00001,0.204,-1.77601
0.923704,-1.92856,-0.206,-0.999991,0.206,-1.76399
0.922963,-1.92859,-0.208,-1.00001,0.208,-1.75202
0.922222,-1.92856,-0.21,-0.999991,0.21,-1.73999
0.921482,-1.92859,-0.212,-1.00001,0.212,-1.72802
0.920741,-1.92856,-0.214,-0.999991,0.214,-1.71599
0.92,-1.92857,-0.216,-1,0.216,-1.704
0.919259,-1.92857,-0.218,-1,0.218,-1.692
0.918519,-1.92857,-0.22,-1,0.22,-1.68
0.917778,-1.92856,-0.222,-0.999991,0.222,-1.66799
0.917037,-1.92857,-0.224,-1,0.224,-1.656
0.916296,-1.92857,-0.226,-1,0.226,-1.644
0.915556,-1.92857,-0.228,-1,0.228,-1.632
0.914815,-1.92857,-0.23,-1,0.23,-1.62
0.914074,-1.92857,-0.232,-1,0.232,-1.608
0.913333,-1.92857,-0.234,-1,0.234,-1.596
0.912593,-1.92856,-0.236,-0.999991,0.236,-1.58399
0.911852,-1.92857,-0.238,-1,0.238,-1.572
0.911111,-1.92857,-0.24,-1,0.24,-1.56
0.91037,-1.92857,-0.242,-1,0.242,-1.548
0.90963,-1.92857,-0.244,-1,0.244,-1.536
0.908889,-1.92857,-0.246,-1,0.246,-1.524
0.908148,-1.92857,-0.248,-1,0.248,-1.512
0.907407,-1.92856,-0.25,-0.999991,0.25,-1.49999
0.906667,-1.92857,-0.252,-1,0.252,-1.488
0.905926,-1.92857,-0.254,-1,0.254,-1.476
0.905185,-1.92857,-0.256,-1,0.256,-1.464
0.904444,-1.92857,-0.258,-1,0.258,-1.452
0.903704,-1.92857,-0.26,-1,0.26,-1.44
0.902963,-1.92857,-0.262,-1,0.262,-1.428
0.902222,-1.92856,-0.264,-0.999991,0.264,-1.41599
0.901482,-1.92857,-0.266,-1,0.266,-1.404
0.900741,-1.92857,-0.268,-1,0.268,-1.392
0.9,-1.92857,-0.27,-1,0.27,-1.38
0.899259,-1.92857,-0.272,-1,0.272,-1.368
0.898519,-1.92857,-0.274,-1,0.274,-1.356
0.897778,-1.92857,-0.276,-1,0.276,-1.344
0.897037,-1.92856,-0.278,-0.999991,0.278,-1.33198
0.896296,-1.92857,-0.28,-1,0.28,-1.32
0.895556,-1.92857,-0.282,-1,0.282,-1.308
0.894815,-1.92857,-0.284,-1,0.284,-1.296
0.894074,-1.92857,-0.286,-1,0.286,-1.284
0.893333,-1.92857,-0.288,-1,0.288,-1.272
0.892593,-1.92857,-0.29,-1,0.29,-1.26
0.891852,-1.92856,-0.292,-0.999991,0.292,-1.24798
0.891111,-1.92857,-0.294,-1,0.294,-1.236
0.89037,-1.92857,-0.296,-1,0.296,-1.224
0.88963,-1.92857,-0.298,-1,0.298,-1.212
0.888889,-1.92857,-0.3,-1,0.3,-1.2
0.888148,-1.92857,-0.302,-1,0.302,-1.188
0.887407,-1.92857,-0.304,-1,0.304,-1.176
0.886667,-1.92856,-0.306,-0.999991,0.306,-1.16398
0.885926,-1.92857,-0.308,-1,0.308,-1.152
0.885185,-1.92857,-0.31,-1,0.31,-1.14
0.884444,-1.92857,-0.312,-1,0.312,-1.128
0.883704,-1.92857,-0.314,-1,0.314,-1.116
0.882963,-1.92857,-0.316,-1,0.316,-1.104
0.882222,-1.92857,-0.318,-1,0.318,-1.092
0.881482,-1.92856,-0.32,-0.999991,0.32,-1.07998
0.880741,-1.92857,-0.322,-1,0.322,-1.068
0.88,-1.92857,-0.324,-1,0.324,-1.056
0.879259,-1.92857,-0.326,-1,0.326,-1.044
0.878519,-1.92857,-0.328,-1,0.328,-1.032
0.877778,-1.92857,-0.33,-1,0.33,-1.02
0.877037,-1.92857,-0.332,-1,0.332,-1.008
0.876296,-1.92856,-0.334,-0.999991,0.334,-0.995981
0.875556,-1.92857,-0.336,-1,0.336,-0.984004
0.874815,-1.92857,-0.338,-1,0.338,-0.972003
0.874074,-1.92857,-0.34,-1,0.34,-0.960003
0.873333,-1.92857,-0.342,-1,0.342,-0.948003
0.872593,-1.92857,-0.344,-1,0.344,-0.936003
0.871852,-1.92857,-0.346,-1,0.346,-0.924003
0.871111,-1.92857,-0.348,-0.999996,0.348,-0.911992
0.87037,-1.92857,-0.35,-1,0.35,-0.900003
0.86963,-1.92857,-0.352,-0.999996,0.352,-0.887992
0.868889,-1.92857,-0.354,-1,0.354,-0.876003
0.868148,-1.92857,-0.356,-1,0.356,-0.864004
0.867407,-1.92857,-0.358,-0.999996,0.358,-0.851992
0.866667,-1.92857,-0.36,-1,0.36,-0.840004
0.865926,-1.92857,-0.362,-1,0.362,-0.828004
0.865185,-1.92857,-0.364,-1,0.364,-0.816003
0.864444,-1.92857,-0.366,-0.999996,0.366,-0.803992
0.863704,-1.92857,-0.368,-1,0.368,-0.792004
0.862963,-1.92857,-0.37,-1,0.37,-0.780003
0.862222,-1.92857,-0.372,-0.999996,0.372,-0.767991
0.861482,-1.92857,-0.374,-1,0.374,-0.756004
0.860741,-1.92857,-0.376,-1,0.376,-0.744004
0.86,-1.92857,-0.378,-1,0.378,-0.732004
0.859259,-1.92857,-0.38,-0.999996,0.38,-0.719992
0.858519,-1.92857,-0.382,-1,0.382,-0.708004
0.857778,-1.92857,-0.384,-1,0.384,-0.696004
0.857037,-1.92857,-0.386,-0.999996,0.386,-0.683991
0.856296,-1.92857,-0.388,-1,0.388,-0.672004
0.855556,-1.92857,-0.39,-1,0.39,-0.660003
0.854815,-1.92857,-0.392,-1,0.392,-0.648004
0.854074,-1.92857,-0.394,-0.999996,0.394,-0.635991
0.853333,-1.92857,-0.396,-1,0.396,-0.624004
0.852593,-1.92857,-0.398,-1,0.398,-0.612004
0.851852,-1.92857,-0.4,-0.999996,0.4,-0.599991
0.851111,-1.92857,-0.402,-1,0.402,-0.588004
0.85037,-1.92857,-0.404,-1,0.404,-0.576004
0.84963,-1.92857,-0.406,-1,0.406,-0.564004
0.848889,-1.92857,-0.408,-0.999996,0.408,-0.551991
0.848148,-1.92857,-0.41,-1,0.41,-0.540003
0.847407,-1.92857,-0.412,-1,0.412,-0.528004
0.846667,-1.92857,-0.414,-0.999999,0.414,-0.515997
0.845926,-1.92857,-0.416,-0.999999,0.416,-0.503998
0.845185,-1.92857,-0.418,-1,0.418,-0.492004
0.844444,-1.92857,-0.42,-0.999999,0.42,-0.479997
0.843704,-1.92857,-0.422,-1,0.422,-0.468004
0.842963,-1.92857,-0.424,-0.999999,0.424,-0.455997
0.842222,-1.92857,-0.426,-0.999999,0.426,-0.443997
0.841482,-1.92857,-0.428,-1,0.428,-0.432005
0.840741,-1.92857,-0.43,-0.999999,0.43,-0.419997
0.84,-1.92857,-0.432,-1,0.432,-0.408004
0.839259,-1.92857,-0.434,-0.999999,0.434,-0.395997
0.838519,-1.92857,-0.436,-1,0.436,-0.384004
0.837778,-1.92857,-0.438,-0.999999,0.438,-0.371997
0.837037,-1.92857,-0.44,-0.999999,0.44,-0.359997
0.836296,-1.92857,-0.442,-1,0.442,-0.348004
0.835556,-1.92857,-0.444,-0.999999,0.444,-0.335997
0.834815,-1.92857,-0.446,-1,0.446,-0.324004
0.834074,-1.92857,-0.448,-0.999999,0.448,-0.311997
0.833333,-1.92857,-0.45,-1,0.45,-0.300001
0.832593,-1.92857,-0.452,-1,0.452,-0.288
0.831852,-1.92857,-0.454,-1,0.454,-0.276001
0.831111,-1.92857,-0.456,-1,0.456,-0.264
0.83037,-1.92857,-0.458,-1,0.458,-0.252
0.82963,-1.92857,-0.46,-0.999999,0.46,-0.239996
0.828889,-1.92857,-0.462,-1,0.462,-0.228
0.828148,-1.92857,-0.464,-1,0.464,-0.216
0.827407,-1.92857,-0.466,-1,0.466,-0.204
0.826667,-1.92857,-0.468,-1,0.468,-0.192001
0.825926,-1.92857,-0.47,-1,0.47,-0.179999
0.825185,-1.92857,-0.472,-1,0.472,-0.168
0.824444,-1.92857,-0.474,-1,0.474,-0.156
0.823704,-1.92857,-0.476,-1,0.476,-0.144
0.822963,-1.92857,-0.478,-1,0.478,-0.132
0.822222,-1.92857,-0.48,-1,0.48,-0.12
0.821481,-1.92857,-0.482,-1,0.482,-0.108
0.820741,-1.92857,-0.484,-1,0.484,-0.0959995
0.82,-1.92857,-0.486,-1,0.486,-0.0839999
0.819259,-1.92857,-0.488,-1,0.488,-0.0720003
0.818519,-1.92857,-0.49,-1,0.49,-0.0600007
0.817778,-1.92857,-0.492,-1,0.492,-0.0479989
0.817037,-1.92857,-0.494,-1,0.494,-0.036
0.816296,-1.92857,-0.496,-1,0.496,-0.0240006
0.815556,-1.92857,-0.498,-1,0.498,-0.0120003
0.814815,-1.92857,-0.5,-1,0.5,-2.38419e-07
0.814074,-1.92857,-0.502,-0.999999,0.502,0.0120039
0.813333,-1.92857,-0.504,-1,0.504,0.0239992
0.812593,-1.92857,-0.506,-1,0.506,0.0359991
0.811852,-1.92857,-0.508,-1,0.508,0.0479989
0.811111,-1.92857,-0.51,-1,0.51,0.059999
0.81037,-1.92857,-0.512,-1,0.512,0.0719993
0.80963,-1.92857,-0.514,-0.999999,0.514,0.0840039
0.808889,-1.92857,-0.516,-1,0.516,0.0959954
0.808148,-1.92857,-0.518,-0.999999,0.518,0.108004
0.807407,-1.92857,-0.52,-1,0.52,0.119996
0.806667,-1.92857,-0.522,-0.999999,0.522,0.132003
0.805926,-1.92857,-0.524,-0.999999,0.524,0.144003
0.805185,-1.92857,-0.526,-1,0.526,0.155995
0.804444,-1.92857,-0.528,-0.999999,0.528,0.168003
0.803704,-1.92857,-0.53,-1,0.53,0.179995
0.802963,-1.92857,-0.532,-0.999999,0.532,0.192003
0.802222,-1.92857,-0.534,-1,0.534,0.203995
0.801481,-1.92857,-0.536,-0.999999,0.536,0.216004
0.800741,-1.92857,-0.538,-0.999999,0.538,0.228004
0.8,-1.92857,-0.54,-1,0.54,0.239995
0.799259,-1.92857,-0.542,-0.999999,0.542,0.252003
0.798519,-1.92857,-0.544,-1,0.544,0.263995
0.797778,-1.92857,-0.546,-0.999999,0.546,0.276003
0.797037,-1.92857,-0.548,-0.999999,0.548,0.288004
0.796296,-1.92857,-0.55,-1,0.55,0.299995
0.795556,-1.92857,-0.552,-1,0.552,0.311994
0.794815,-1.92857,-0.554,-0.999996,0.554,0.324013
0.794074,-1.92857,-0.556,-1,0.556,0.335995
0.793333,-1.92857,-0.558,-1,0.558,0.347994
0.792593,-1.92857,-0.56,-1,0.56,0.359994
0.791852,-1.92857,-0.562,-0.999996,0.562,0.372013
0.791111,-1.92857,-0.564,-1,0.564,0.383995
0.79037,-1.92857,-0.566,-1,0.566,0.395995
0.78963,-1.92857,-0.568,-0.999996,0.568,0.408013
0.788889,-1.92857,-0.57,-1,0.57,0.419995
0.788148,-1.92857,-0.572,-1,0.572,0.431995
0.787407,-1.92857,-0.574,-1,0.574,0.443995
0.786667,-1.92857,-0.576,-0.999996,0.576,0.456012
0.785926,-1.92857,-0.578,-1,0.578,0.467994
0.785185,-1.92857,-0.58,-1,0.58,0.479994
0.784445,-1.92857,-0.582,-0.999996,0.582,0.492013
0.783704,-1.92857,-0.584,-1,0.584,0.503994
0.782963,-1.92857,-0.586,-1,0.586,0.515994
0.782222,-1.92857,-0.588,-1,0.588,0.527995
0.781482,-1.92857,-0.59,-0.999996,0.59,0.540014
0.780741,-1.92857,-0.592,-1,0.592,0.551995
0.78,-1.92857,-0.594,-1,0.594,0.563995
0.779259,-1.92857,-0.596,-0.999996,0.596,0.576014
0.778519,-1.92857,-0.598,-1,0.598,0.587994
0.777778,-1.92857,-0.6,-1,0.6,0.599994
0.777037,-1.92857,-0.602,-1,0.602,0.611994
0.776296,-1.92857,-0.604,-0.999996,0.604,0.624014
0.775556,-1.92857,-0.606,-1,0.606,0.635994
0.774815,-1.92857,-0.608,-1,0.608,0.647994
0.774074,-1.92857,-0.61,-0.999996,0.61,0.660014
0.773333,-1.92857,-0.612,-1,0.612,0.671994
0.772593,-1.92857,-0.614,-0.999996,0.614,0.684015
0.771852,-1.92857,-0.616,-1,0.616,0.695994
0.771111,-1.92857,-0.618,-1,0.618,0.707994
0.77037,-1.92857,-0.62,-1,0.62,0.719994
0.76963,-1.92857,-0.622,-1,0.622,0.731994
0.768889,-1.92857,-0.624,-1,0.624,0.743994
0.768148,-1.92857,-0.626,-1,0.626,0.755994
0.767407,-1.92856,-0.628,-0.999991,0.628,0.768035
0.766667,-1.92857,-0.63,-1,0.63,0.779994
0.765926,-1.92857,-0.632,-1,0.632,0.791993
0.765185,-1.92857,-0.634,-1,0.634,0.803994
0.764444,-1.92857,-0.636,-1,0.636,0.815994
0.763704,-1.92857,-0.638,-1,0.638,0.827993
0.762963,-1.92857,-0.64,-1,0.64,0.839994
0.762222,-1.92856,-0.642,-0.999991,0.642,0.852035
0.761482,-1.92857,-0.644,-1,0.644,0.863994
0.760741,-1.92857,-0.646,-1,0.646,0.875994
0.76,-1.92857,-0.648,-1,0.648,0.887994
0.759259,-1.92857,-0.65,-1,0.65,0.899995
0.758519,-1.92857,-0.652,-1,0.652,0.911994
0.757778,-1.92857,-0.654,-1,0.654,0.923993
0.757037,-1.92856,-0.656,-0.999991,0.656,0.936036
0.756296,-1.92857,-0.658,-1,0.658,0.947993
0.755556,-1.92857,-0.66,-1,0.66,0.959994
0.754815,-1.92857,-0.662,-1,0.662,0.971994
0.754074,-1.92857,-0.664,-1,0.664,0.983994
0.753333,-1.92857,-0.666,-1,0.666,0.995994
0.752593,-1.92857,-0.668,-1,0.668,1.00799
0.751852,-1.92856,-0.67,-0.999991,0.67,1.02004
0.751111,-1.92857,-0.672,-1,0.672,1.03199
0.75037,-1.92857,-0.674,-1,0.674,1.04399
0.74963,-1.92857,-0.676,-1,0.676,1.05599
0.748889,-1.92857,-0.678,-1,0.678,1.06799
0.748148,-1.92857,-0.68,-1,0.68,1.07999
0.747407,-1.92857,-0.682,-1,0.682,1.09199
0.746667,-1.92856,-0.684,-0.999991,0.684,1.10404
0.745926,-1.92857,-0.686,-1,0.686,1.11599
0.745185,-1.92857,-0.688,-1,0.688,1.12799
0.744444,-1.92857,-0.69,-1,0.69,1.13999
0.743704,-1.92857,-0.692,-1,0.692,1.15199
0.742963,-1.92857,-0.694,-1,0.694,1.16399
0.742222,-1.92857,-0.696,-1,0.696,1.17599
0.741481,-1.92856,-0.698,-0.999991,0.698,1.18804
0.740741,-1.92857,-0.7,-1,0.7,1.19999
0.74,-1.92857,-0.702,-1,0.702,1.21199
0.739259,-1.92857,-0.704,-1,0.704,1.22399
0.738519,-1.92857,-0.706,-1,0.706,1.23599
0.737778,-1.92857,-0.708,-1,0.708,1.24799
0.737037,-1.92857,-0.71,-1,0.71,1.25999
0.736296,-1.92856,-0.712,-0.999991,0.712,1.27204
0.735556,-1.92857,-0.714,-1,0.714,1.28399
0.734815,-1.92857,-0.716,-1,0.716,1.29599
0.734074,-1.92857,-0.718,-1,0.718,1.30799
0.733333,-1.92857,-0.72,-1,0.72,1.31999
0.732593,-1.92857,-0.722,-1,0.722,1.33199
0.731852,-1.92857,-0.724,-1,0.724,1.34399
0.731111,-1.92856,-0.726,-0.999991,0.726,1.35604
0.73037,-1.92857,-0.728,-1,0.728,1.36799
0.72963,-1.92857,-0.73,-1,0.73,1.37999
0.728889,-1.92857,-0.732,-1,0.732,1.39199
0.728148,-1.92857,-0.734,-1,0.734,1.40399
0.727407,-1.92857,-0.736,-1,0.736,1.41599
0.726667,-1.92857,-0.738,-1,0.738,1.42799
0.725926,-1.92856,-0.74,-0.999991,0.74,1.44004
0.725185,-1.92857,-0.742,-1,0.742,1.45199
0.724445,-1.92857,-0.744,-1,0.744,1.46399
0.723704,-1.92857,-0.746,-1,0.746,1.47599
0.722963,-1.92856,-0.748,-0.999991,0.748,1.48804
0.722222,-1.92859,-0.75,-1.00001,0.75,1.49994
0.721482,-1.92856,-0.752,-0.999991,0.752,1.51204
0.720741,-1.92859,-0.754,-1.00001,0.754,1.52395
0.72,-1.92856,-0.756,-0.999991,0.756,1.53604
0.719259,-1.92859,-0.758,-1.00001,0.758,1.54795
0.718518,-1.92856,-0.76,-0.999991,0.76,1.56004
0.717778,-1.92856,-0.762,-0.999991,0.762,1.57204
0.717037,-1.92859,-0.764,-1.00001,0.764,1.58394
0.716296,-1.92856,-0.766,-0.999991,0.766,1.59604
0.715556,-1.92859,-0.768,-1.00001,0.768,1.60794
0.714815,-1.92856,-0.77,-0.999991,0.77,1.62004
0.714074,-1.92859,-0.772,-1.00001,0.772,1.63194
0.713333,-1.92856,-0.774,-0.999991,0.774,1.64404
0.712593,-1.92856,-0.776,-0.999991,0.776,1.65604
0.711852,-1.92859,-0.778,-1.00001,0.778,1.66794
0.711111,-1.92856,-0.78,-0.999991,0.78,1.68004
0.71037,-1.92859,-0.782,-1.00001,0.782,1.69194
0.70963,-1.92856,-0.784,-0.999991,0.784,1.70404
0.708889,-1.92859,-0.786,-1.00001,0.786,1.71594
0.708148,-1.92856,-0.788,-0.999991,0.788,1.72804
0.707407,-1.92856,-0.79,-0.999991,0.79,1.74004
0.706667,-1.92859,-0.792,-1.00001,0.792,1.75194
0.705926,-1.92856,-0.794,-0.999991,0.794,1.76404
0.705185,-1.92859,-0.796,-1.00001,0.796,1.77594
0.704445,-1.92856,-0.798,-0.999991,0.798,1.78804
0.703704,-1.92859,-0.8,-1.00001,0.8,1.79994
0.702963,-1.92856,-0.802,-0.999991,0.802,1.81204
0.702222,-1.92856,-0.804,-0.999991,0.804,1.82404
0.701482,-1.92859,-0.806,-1.00001,0.806,1.83594
0.700741,-1.92856,-0.808,-0.999991,0.808,1.84804
0.7,-1.92859,-0.81,-1.00001,0.81,1.85994
0.699259,-1.92856,-0.812,-0.999991,0.812,1.87204
0.698519,-1.92859,-0.814,-1.00001,0.814,1.88394
0.697778,-1.92856,-0.816,-0.999991,0.816,1.89605
0.697037,-1.92856,-0.818,-0.999991,0.818,1.90804
0.696296,-1.92859,-0.82,-1.00001,0.82,1.91994
0.695556,-1.92856,-0.822,-0.999991,0.822,1.93204
0.694815,-1.92859,-0.824,-1.00001,0.824,1.94394
0.694074,-1.92856,-0.826,-0.999991,0.826,1.95605
0.693333,-1.92859,-0.828,-1.00001,0.828,1.96794
0.692593,-1.92856,-0.83,-0.999991,0.83,1.98005
0.691852,-1.92856,-0.832,-0.999991,0.832,1.99205
0.691111,-1.92859,-0.834,-1.00001,0.834,2.00394
0.69037,-1.92856,-0.836,-0.999991,0.836,2.01605
0.68963,-1.92859,-0.838,-1.00001,0.838,2.02794
0.688889,-1.92856,-0.84,-0.999991,0.84,2.04005
0.688148,-1.92859,-0.842,-1.00001,0.842,2.05194
0.687407,-1.92856,-0.844,-0.999991,0.844,2.06405
0.686667,-1.92856,-0.846,-0.999991,0.846,2.07605
0.685926,-1.92859,-0.848,-1.00001,0.848,2.08794
0.685185,-1.92856,-0.85,-0.999991,0.85,2.10005
0.684444,-1.92859,-0.852,-1.00001,0.852,2.11194
0.683704,-1.92856,-0.854,-0.999991,0.854,2.12405
0.682963,-1.92859,-0.856,-1.00001,0.856,2.13594
0.682222,-1.92856,-0.858,-0.999991,0.858,2.14805
0.681482,-1.92856,-0.86,-0.999991,0.86,2.16005
0.680741,-1.92859,-0.862,-1.00001,0.862,2.17194
0.68,-1.92856,-0.864,-0.999991,0.864,2.18405
0.679259,-1.92859,-0.866,-1.00001,0.866,2.19594
0.678519,-1.92856,-0.868,-0.999991,0.868,2.20805
0.677778,-1.92859,-0.87,-1.00001,0.87,2.21994
0.677037,-1.92856,-0.872,-0.999991,0.872,2.23205
0.676296,-1.92856,-0.874,-0.999991,0.874,2.24405
0.675556,-1.92859,-0.876,-1.00001,0.876,2.25594
0.674815,-1.92856,-0.878,-0.999991,0.878,2.26805
0.674074,-1.92859,-0.88,-1.00001,0.88,2.27994
0.673333,-1.92856,-0.882,-0.999991,0.882,2.29205
0.672593,-1.92859,-0.884,-1.00001,0.884,2.30394
0.671852,-1.92856,-0.886,-0.999991,0.886,2.31605
0.671111,-1.92856,-0.888,-0.999991,0.888,2.32805
0.67037,-1.92859,-0.89,-1.00001,0.89,2.33993
0.66963,-1.92856,-0.892,-0.999991,0.892,2.35205
0.668889,-1.92859,-0.894,-1.00001,0.894,2.36393
0.668148,-1.92856,-0.896,-0.999991,0.896,2.37605
0.667407,-1.92859,-0.898,-1.00001,0.898,2.38793
0.666667,-1.92856,-0.9,-0.999991,0.9,2.40005
0.665926,-1.92856,-0.902,-0.999991,0.902,2.41205
0.665185,-1.92859,-0.904,-1.00001,0.904,2.42393
0.664444,-1.92856,-0.906,-0.999991,0.906,2.43605
0.663704,-1.92859,-0.908,-1.00001,0.908,2.44793
0.662963,-1.92856,-0.91,-0.999991,0.91,2.46005
0.662222,-1.92859,-0.912,-1.00001,0.912,2.47193
0.661481,-1.92856,-0.914,-0.999991,0.914,2.48405
0.660741,-1.92856,-0.916,-0.999991,0.916,2.49605
